iter	Passed	Remaining
0	110	330620
1	145	217599
2	189	189590
3	229	171560
4	259	155492
5	286	142933
6	324	138823
7	358	134198
8	385	128096
9	420	125757
10	451	122576
11	490	122156
12	525	120740
13	563	120091
14	596	118704
15	622	116057
16	656	115169
17	695	115193
18	722	113361
19	758	113077
20	791	112246
21	811	109845
22	847	109680
23	883	109603
24	918	109266
25	942	107853
26	971	106948
27	998	105954
28	1029	105484
29	1064	105426
30	1095	104888
31	1130	104887
32	1156	103973
33	1193	104082
34	1233	104459
35	1267	104398
36	1300	104151
37	1327	103468
38	1364	103621
39	1398	103518
40	1428	103112
41	1458	102701
42	1493	102731
43	1526	102585
44	1560	102487
45	1595	102452
46	1630	102455
47	1659	102064
48	1687	101658
49	1720	101487
50	1755	101516
51	1782	101031
52	1813	100841
53	1846	100751
54	1881	100761
55	1914	100653
56	1942	100307
57	1979	100423
58	2011	100282
59	2044	100181
60	2074	99940
61	2107	99883
62	2136	99599
63	2167	99446
64	2205	99599
65	2233	99296
66	2272	99497
67	2310	99603
68	2340	99423
69	2376	99463
70	2404	99181
71	2430	98840
72	2458	98560
73	2495	98674
74	2530	98681
75	2559	98459
76	2592	98420
77	2622	98231
78	2658	98301
79	2697	98444
80	2730	98393
81	2766	98441
82	2785	97897
83	2810	97575
84	2840	97408
85	2863	97012
86	2889	96736
87	2918	96579
88	2953	96594
89	2981	96392
90	3017	96454
91	3049	96395
92	3083	96378
93	3112	96233
94	3144	96142
95	3178	96141
96	3198	95731
97	3219	95334
98	3253	95330
99	3284	95242
100	3317	95226
101	3352	95243
102	3375	94945
103	3408	94918
104	3438	94792
105	3475	94876
106	3507	94843
107	3538	94763
108	3569	94681
109	3605	94738
110	3636	94640
111	3669	94616
112	3692	94343
113	3727	94370
114	3761	94365
115	3792	94282
116	3818	94087
117	3848	93990
118	3879	93934
119	3911	93878
120	3934	93621
121	3964	93513
122	3990	93341
123	4026	93395
124	4052	93207
125	4082	93119
126	4112	93027
127	4145	93015
128	4183	93111
129	4208	92909
130	4242	92912
131	4279	92980
132	4314	93009
133	4349	93025
134	4383	93033
135	4412	92922
136	4446	92924
137	4485	93028
138	4515	92942
139	4549	92939
140	4578	92844
141	4612	92840
142	4649	92899
143	4680	92830
144	4712	92786
145	4737	92611
146	4774	92669
147	4805	92610
148	4840	92621
149	4878	92692
150	4910	92651
151	4942	92598
152	4981	92689
153	5016	92709
154	5044	92582
155	5075	92532
156	5107	92486
157	5141	92482
158	5175	92482
159	5209	92463
160	5236	92333
161	5271	92356
162	5303	92302
163	5333	92236
164	5358	92077
165	5394	92095
166	5423	92002
167	5454	91953
168	5489	91958
169	5516	91825
170	5552	91858
171	5587	91872
172	5621	91867
173	5651	91790
174	5683	91742
175	5721	91796
176	5749	91698
177	5781	91661
178	5818	91698
179	5852	91692
180	5878	91560
181	5910	91516
182	5941	91467
183	5974	91435
184	5995	91233
185	6028	91198
186	6055	91086
187	6089	91087
188	6122	91054
189	6155	91042
190	6194	91106
191	6229	91112
192	6263	91098
193	6300	91127
194	6339	91184
195	6373	91173
196	6397	91028
197	6432	91035
198	6469	91054
199	6502	91040
200	6535	91007
201	6575	91075
202	6612	91108
203	6649	91133
204	6678	91055
205	6712	91036
206	6744	90996
